country,Bronze,Gold,Silver
 Afghanistan,2,0,0
 Albania  Greece,1,0,1
 Albania  Kosovo,0,1,0
 Algeria,8,5,4
 Argentina,117,99,124
 Argentina  Australia,1,0,0
 Argentina  Italy,1,0,0
 Armenia,8,1,8
 Armenia  Bulgaria,1,2,0
 Armenia  Kazakhstan,1,0,0
 Armenia  Russian Federation,1,0,0
 Armenia  Soviet Union,0,3,1
 Armenia  Soviet Union  Unified Team,0,2,1
 Australasia,3,34,2
 Australasia  Australia,3,1,4
 Australasia  New Zealand,1,0,0
 Australasia  United States,0,2,0
 Australia,574,387,486
 Australia  Belarus,1,0,0
 Australia  Belgium,1,0,0
 Australia  Bulgaria,4,0,0
 Australia  Germany,2,0,1
 Australia  Great Britain,3,1,1
 Australia  Great Britain  New Zealand,1,0,0
 Australia  Hungary,1,0,1
 Australia  India,0,0,1
 Australia  Italy,1,0,1
 Australia  Kazakhstan,0,1,0
 Australia  Malaysia  Netherlands,0,0,1
 Australia  Netherlands,3,2,1
 Australia  New Zealand,0,1,0
 Australia  Russian Federation  Soviet Union  Unified Team,1,0,2
 Australia  Soviet Union,0,0,1
 Australia  Ukraine  Unified Team,1,0,0
 Australia  United States,1,2,1
 Austria,170,123,204
 Austria  Canada,0,1,0
 Austria  Germany,0,1,0
 Austria  Hungary,1,1,2
 Austria  International Federation Representative,1,0,0
 Austria  Poland,0,0,1
 Austria  Russian Federation  Unified Team,1,0,1
 Austria  Soviet Union,2,0,0
 Austria  Soviet Union  Unified Team,2,0,0
 Austria  United States,1,0,2
 Austria  Yugoslavia,0,3,3
 Azerbaijan,24,7,14
 Azerbaijan  Belarus,0,0,1
 Azerbaijan  North Macedonia,1,0,0
 Azerbaijan  Türkiye,1,0,0
 Azerbaijan  Ukraine,4,1,2
 Azerbaijan  Unified Team,0,1,1
 Bahrain,0,2,2
 Barbados,1,0,0
 Belarus,56,24,46
 Belarus  Kazakhstan,0,0,1
 Belarus  Russian Federation,3,1,1
 Belarus  Russian Federation  Soviet Union,0,1,0
 Belarus  Soviet Union,7,8,4
 Belarus  Soviet Union  Unified Team,4,8,4
 Belarus  Ukraine,0,1,0
 Belarus  Unified Team,10,13,5
 Belgium,180,133,202
 Belgium  Germany,0,1,0
 Belgium  Hungary,1,1,2
 Belgium  Netherlands,2,2,1
 Belgium  Spain,1,0,0
 Bermuda,1,1,0
 Bohemia,7,0,0
 Bohemia  Czechoslovakia,3,0,1
 Bosnia and Herzegovina  Yugoslavia,0,2,1
 Botswana,5,0,1
 Brazil,215,144,203
 Brazil  Croatia  Italy  United States  Yugoslavia,0,0,1
 Brazil  Serbia,2,0,0
 Bulgaria,143,60,145
 Bulgaria  Croatia,2,1,1
 Bulgaria  Republic of Moldova,1,0,0
 Bulgaria  Russian Federation,0,0,1
 Bulgaria  Switzerland,1,0,0
 Bulgaria  United States,0,0,1
 Burkina Faso,1,0,0
 Burundi,0,1,1
 Cameroon,2,21,1
 Cameroon  France,0,0,1
 Canada,572,577,511
 Canada  Czechia,1,0,1
 Canada  Denmark,1,0,1
 Canada  France,1,0,0
 Canada  Great Britain  Sweden,1,0,0
 Canada  Italy,0,0,1
 Canada  Jamaica,1,0,1
 Canada  Nigeria,0,0,1
 Canada  People's Republic of China,0,1,0
 Canada  Soviet Union,1,2,1
 Canada  Sweden,0,1,0
 Canada  Switzerland,0,0,1
 Canada  United States,3,5,1
 Chile,25,3,9
 Chinese Taipei,22,8,33
 Chinese Taipei  People's Republic of China,1,1,2
 Colombia,16,5,13
 Colombia  Yugoslavia,0,0,1
 Costa Rica,2,1,1
 Croatia,35,57,50
 Croatia  Egypt  Yugoslavia,1,1,0
 Croatia  Italy,0,0,1
 Croatia  Slovenia,1,0,1
 Croatia  Slovenia  Yugoslavia,1,1,0
 Croatia  Soviet Union  Unified Team,0,1,1
 Croatia  Spain,0,0,1
 Croatia  Yugoslavia,7,8,17
 Cuba,128,181,136
 Cuba  Italy,1,2,0
 Cuba  Portugal,0,1,0
 Cuba  Soviet Union,0,0,1
 Cuba  Spain,0,0,1
 Cuba  Türkiye,1,0,0
 Cyprus,0,0,1
 Czechia,74,42,33
 Czechia  Czechoslovakia,25,22,25
 Czechoslovakia,164,69,209
 Czechoslovakia  Finland,0,0,1
 Czechoslovakia  Hungary,1,0,0
 Czechoslovakia  Slovakia,3,0,3
 Czechoslovakia  United States,0,1,0
 Czechoslovakia  Yugoslavia,0,0,1
 Côte d'Ivoire,2,1,1
 Democratic People's Republic of Korea,36,16,17
 Denmark,189,173,263
 Denmark  Norway,0,0,1
 Denmark  Sweden,1,0,0
 Djibouti,1,0,0
 Dominican Republic,27,3,9
 East Germany,250,345,290
 East Germany  Germany,72,115,91
 Ecuador,0,3,2
 Egypt,18,8,10
 Egypt  Hungary,0,2,1
 Egypt  Yugoslavia,0,1,0
 Eritrea,1,0,0
 Estonia,25,16,10
 Estonia  Russian Federation,0,2,0
 Estonia  Soviet Union,5,3,4
 Ethiopia,23,23,12
 Fiji,13,26,0
 Finland,490,223,277
 Finland  South Africa,1,0,0
 France,717,568,683
 France  Germany,0,1,0
 France  Great Britain,1,1,2
 France  Greece,0,0,1
